departure_date,booking_date,cum_bookings
8/27/2012,7/26/2012,44
8/27/2012,7/27/2012,44
8/27/2012,7/28/2012,46
8/27/2012,7/29/2012,46
8/27/2012,7/30/2012,48
8/27/2012,7/31/2012,50
8/27/2012,8/1/2012,50
8/27/2012,8/2/2012,51
8/27/2012,8/3/2012,52
8/27/2012,8/4/2012,54
8/27/2012,8/5/2012,56
8/27/2012,8/6/2012,58
8/27/2012,8/7/2012,69
8/27/2012,8/8/2012,83
8/27/2012,8/9/2012,88
8/27/2012,8/10/2012,102
8/27/2012,8/11/2012,102
8/27/2012,8/12/2012,102
8/27/2012,8/13/2012,105
8/27/2012,8/14/2012,121
8/27/2012,8/15/2012,125
8/27/2012,8/16/2012,136
8/27/2012,8/17/2012,147
8/27/2012,8/18/2012,150
8/27/2012,8/19/2012,154
8/27/2012,8/20/2012,164
8/27/2012,8/21/2012,176
8/27/2012,8/22/2012,183
8/27/2012,8/23/2012,204
8/27/2012,8/24/2012,219
8/27/2012,8/25/2012,232
8/27/2012,8/26/2012,256
8/27/2012,8/27/2012,313
8/28/2012,6/29/2012,3
8/28/2012,6/30/2012,3
8/28/2012,7/1/2012,3
8/28/2012,7/2/2012,6
8/28/2012,7/3/2012,8
8/28/2012,7/4/2012,8
8/28/2012,7/5/2012,11
8/28/2012,7/6/2012,23
8/28/2012,7/7/2012,27
8/28/2012,7/8/2012,27
8/28/2012,7/9/2012,30
8/28/2012,7/10/2012,40
8/28/2012,7/11/2012,41
8/28/2012,7/12/2012,42
8/28/2012,7/13/2012,44
8/28/2012,7/14/2012,44
8/28/2012,7/15/2012,44
8/28/2012,7/16/2012,48
8/28/2012,7/17/2012,49
8/28/2012,7/18/2012,49
8/28/2012,7/19/2012,55
8/28/2012,7/20/2012,56
8/28/2012,7/21/2012,56
8/28/2012,7/22/2012,61
8/28/2012,7/23/2012,88
8/28/2012,7/24/2012,91
8/28/2012,7/25/2012,98
8/28/2012,7/26/2012,102
8/28/2012,7/27/2012,105
8/28/2012,7/28/2012,110
8/28/2012,7/29/2012,120
8/28/2012,7/30/2012,125
8/28/2012,7/31/2012,130
8/28/2012,8/1/2012,131
8/28/2012,8/2/2012,133
8/28/2012,8/3/2012,136
8/28/2012,8/4/2012,138
8/28/2012,8/5/2012,147
8/28/2012,8/6/2012,150
8/28/2012,8/7/2012,165
8/28/2012,8/8/2012,179
8/28/2012,8/9/2012,185
8/28/2012,8/10/2012,194
8/28/2012,8/11/2012,194
8/28/2012,8/12/2012,194
8/28/2012,8/13/2012,198
8/28/2012,8/14/2012,215
8/28/2012,8/15/2012,222
8/28/2012,8/16/2012,237
8/28/2012,8/17/2012,246
8/28/2012,8/18/2012,246
8/28/2012,8/19/2012,250
8/28/2012,8/20/2012,260
8/28/2012,8/21/2012,268
8/28/2012,8/22/2012,284
8/28/2012,8/23/2012,303
8/28/2012,8/24/2012,342
8/28/2012,8/25/2012,347
8/28/2012,8/26/2012,360
8/28/2012,8/27/2012,381
8/28/2012,8/28/2012,406
8/29/2012,6/30/2012,0
8/29/2012,7/1/2012,0
8/29/2012,7/2/2012,6
8/29/2012,7/3/2012,8
8/29/2012,7/4/2012,8
8/29/2012,7/5/2012,11
8/29/2012,7/6/2012,23
8/29/2012,7/7/2012,27
8/29/2012,7/8/2012,27
8/29/2012,7/9/2012,30
8/29/2012,7/10/2012,43
8/29/2012,7/11/2012,45
8/29/2012,7/12/2012,46
8/29/2012,7/13/2012,50
8/29/2012,7/14/2012,52
8/29/2012,7/15/2012,52
8/29/2012,7/16/2012,58
8/29/2012,7/17/2012,59
8/29/2012,7/18/2012,59
8/29/2012,7/19/2012,65
8/29/2012,7/20/2012,67
8/29/2012,7/21/2012,69
8/29/2012,7/22/2012,75
8/29/2012,7/23/2012,105
8/29/2012,7/24/2012,111
8/29/2012,7/25/2012,116
